#-------------------------------------------------------------------------------
# ---------------------------------------------------------------------------
#                                   NIH Clinical Center 
#                             Department of Rehabilitation 
#                        Epidemiology and Biostatistics Branch 
#                                         2019
#    
#  This work is licensed under the Creative Commons Attribution 4.0 International License. 
#  
#  This license allows you to use, share and  adapt for any purpose, provided:
#     Provide attribution to the creators of this work within your work.
#     Indicate if changes were made to this work.
#     No claim to merchantability, implied warranty, or liability can be made.
#     
#   When attributing this code, please make reference to
#    [citation/url here] .  
#    
#     In the absence of a specific paper or url listed above, reference http://clinicalcenter.nih.gov/rmd/eb/nlp
#  
#  To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/
#-------------------------------------------------------------------------------
# From https://metamap.hlm.nih.gov/Docs/SemGroups_2013AA.txt 
#      accessed 2017.08.01
#-----+----------------------+------------------------+------- 
#Group|Group Name            |TUI|UMLS Semantic Type  | semantic type abbr
#-----+----------------------+------------------------+------- 
CONC|Concepts & Ideas|T082|Spatial Concept|spco
CONC|Concepts & Ideas|T079|Temporal Concept|tmco
DEVI|Devices|T203|Drug Delivery Device|drdd
DEVI|Devices|T074|Medical Device|medd
DEVI|Devices|T075|Research Device|resd
DISO|Disorders|T020|Acquired Abnormality|acab
DISO|Disorders|T190|Anatomical Abnormality|anab
DISO|Disorders|T049|Cell or Molecular Dysfunction|comd
DISO|Disorders|T019|Congenital Abnormality|cgab
DISO|Disorders|T047|Disease or Syndrome|dsyn
DISO|Disorders|T050|Experimental Model of Disease|emod
DISO|Disorders|T033|Finding|fndg
DISO|Disorders|T037|Injury or Poisoning|inpo
DISO|Disorders|T048|Mental or Behavioral Dysfunction|mobd
DISO|Disorders|T191|Neoplastic Process|neop
DISO|Disorders|T046|Pathologic Function|patf
DISO|Disorders|T184|Sign or Symptom|sosy
GENE|Genes & Molecular Sequences|T087|Amino Acid Sequence|amas
GENE|Genes & Molecular Sequences|T088|Carbohydrate Sequence|crbs
GENE|Genes & Molecular Sequences|T028|Gene or Genome|gngm
GENE|Genes & Molecular Sequences|T085|Molecular Sequence|mosq
GENE|Genes & Molecular Sequences|T086|Nucleotide Sequence|nusq
GEOG|Geographic Areas|T083|Geographic Area|geoa
LIVB|Living Beings|T100|Age Group|aggp
LIVB|Living Beings|T011|Amphibian|amph
LIVB|Living Beings|T008|Animal|anim
LIVB|Living Beings|T194|Archaeon|arch
LIVB|Living Beings|T007|Bacterium|bact
LIVB|Living Beings|T012|Bird|bird
LIVB|Living Beings|T204|Eukaryote|euka
LIVB|Living Beings|T099|Family Group|famg
LIVB|Living Beings|T013|Fish|fish
LIVB|Living Beings|T004|Fungus|fngs
LIVB|Living Beings|T096|Group|grup
LIVB|Living Beings|T016|Human|humn
LIVB|Living Beings|T015|Mammal|mamm
LIVB|Living Beings|T001|Organism|orgm
LIVB|Living Beings|T101|Patient or Disabled Group|podg
LIVB|Living Beings|T002|Plant|plnt
LIVB|Living Beings|T098|Population Group|popg
LIVB|Living Beings|T097|Professional or Occupational Group|prog
LIVB|Living Beings|T014|Reptile|rept
LIVB|Living Beings|T010|Vertebrate|vtbt
LIVB|Living Beings|T005|Virus|virs
OBJC|Objects|T071|Entity|enty
OBJC|Objects|T168|Food|food
OBJC|Objects|T073|Manufactured Object|mnob
OBJC|Objects|T072|Physical Object|phob
OBJC|Objects|T167|Substance|sbst
OCCU|Occupations|T091|Biomedical Occupation or Discipline|bmod
OCCU|Occupations|T090|Occupation or Discipline|ocdi
ORGA|Organizations|T093|Health Care Related Organization|hcro
ORGA|Organizations|T092|Organization|orgt
ORGA|Organizations|T094|Professional Society|pros
ORGA|Organizations|T095|Self-help or Relief Organization|shro
PHEN|Phenomena|T038|Biologic Function|biof
PHEN|Phenomena|T069|Environmental Effect of Humans|eehu
PHEN|Phenomena|T068|Human-caused Phenomenon or Process|hcpp
PHEN|Phenomena|T034|Laboratory or Test Result|lbtr
PHEN|Phenomena|T070|Natural Phenomenon or Process|npop
PHEN|Phenomena|T067|Phenomenon or Process|phpr
PHYS|Physiology|T043|Cell Function|celf
PHYS|Physiology|T201|Clinical Attribute|clna
PHYS|Physiology|T045|Genetic Function|genf
PHYS|Physiology|T041|Mental Process|menp
PHYS|Physiology|T044|Molecular Function|motf
PHYS|Physiology|T032|Organism Attribute|orga
PHYS|Physiology|T040|Organism Function|orgf
PHYS|Physiology|T042|Organ or Tissue Function|ortf
PHYS|Physiology|T039|Physiologic Function|phsf
PROC|Procedures|T060|Diagnostic Procedure|diap
PROC|Procedures|T065|Educational Activity|edac
PROC|Procedures|T058|Health Care Activity|hlca
PROC|Procedures|T059|Laboratory Procedure|lbpr
PROC|Procedures|T063|Molecular Biology Research Technique|mbrt
PROC|Procedures|T062|Research Activity|resa
PROC|Procedures|T061|Therapeutic or Preventive Procedure|topp
