#-------------------------------------------------------------------------------
# ---------------------------------------------------------------------------
#                                   NIH Clinical Center 
#                             Department of Rehabilitation 
#                        Epidemiology and Biostatistics Branch 
#                                         2019
#    
#  This work is licensed under the Creative Commons Attribution 4.0 International License. 
#  
#  This license allows you to use, share and  adapt for any purpose, provided:
#     Provide attribution to the creators of this work within your work.
#     Indicate if changes were made to this work.
#     No claim to merchantability, implied warranty, or liability can be made.
#     
#   When attributing this code, please make reference to
#    [citation/url here] .  
#    
#     In the absence of a specific paper or url listed above, reference http://clinicalcenter.nih.gov/rmd/eb/nlp
#  
#  To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/
#-------------------------------------------------------------------------------
MST Lexicon Terms|category ||||||||||
Illegal drugs|Social Markers||||||||||
Legally committed|Social Markers||||||||||
Illicit illegal|Social Markers||||||||||
illegal medications|Social Markers||||||||||
Legal charges|Social Markers||||||||||
Illegal substances|Social Markers||||||||||
Used illegal|Social Markers||||||||||
Ongoing legal|Social Markers||||||||||
Legal consequences|Social Markers||||||||||
Legal stressors|Social Markers||||||||||
Legal infractions|Social Markers||||||||||
Outstanding legal|Social Markers||||||||||
legal status|Social Markers||||||||||
legal infraction|Social Markers||||||||||
Legal trouble|Social Markers||||||||||
Legal proceedings|Social Markers||||||||||
Illegal activities|Social Markers||||||||||
Medications illegal|Social Markers||||||||||
Problems legal|Social Markers||||||||||
Alcohol illegal|Social Markers||||||||||
Significant legal|Social Markers||||||||||
Homeless legal|Social Markers||||||||||
Difficulties legal|Social Markers||||||||||
Facing legal|Social Markers||||||||||
legal history|Social Markers||||||||||
Parole officer|Social Markers||||||||||
Parole probation|Social Markers||||||||||
Parole violation|Social Markers||||||||||
Incarceration parole|Social Markers||||||||||
Multiple parole|Social Markers||||||||||
Recent parole|Social Markers||||||||||
Parole requirements|Social Markers||||||||||
Violating parole|Social Markers||||||||||
Parole current|Social Markers||||||||||
Broken parole|Social Markers||||||||||
parole on|Social Markers||||||||||
breaking parole|Social Markers||||||||||
upcoming parole|Social Markers||||||||||
Mild poverty|Social Markers||||||||||
Poverty unemployment|Social Markers||||||||||
exhibited poverty|Social Markers||||||||||
relationship conflict|Social Markers||||||||||
alcohol abuse|Alcohol Abuse||||||||||
etoh abuse|Alcohol Abuse||||||||||
AD|Alcohol Abuse||||||||||
alcohol dependence|Alcohol Abuse||||||||||
alcohol detoxification|Alcohol Abuse||||||||||
alcohol rehab|Alcohol Abuse||||||||||
alcohol use|Alcohol Abuse||||||||||
dui|Alcohol Abuse||||||||||
ETOH|Alcohol Abuse||||||||||
EtOH|Alcohol Abuse||||||||||
ethyl alchohol|Alcohol Abuse||||||||||
ethyl|Alcohol Abuse||||||||||
etoh|Alcohol Abuse||||||||||
alcohol abuse/dependence|Alcohol Abuse||||||||||
etoh abuse|Alcohol Abuse||||||||||
etoh dependence|Alcohol Abuse||||||||||
etoh abuse/dependence|Alcohol Abuse||||||||||
AA groups|Alcohol Abuse||||||||||
AA group|Alcohol Abuse||||||||||
binge drinking|Alcohol Abuse||||||||||
anger|MentalHealthEvidence||||||||||
antisocial |MentalHealthEvidence||||||||||
depression|MentalHealthEvidence||||||||||
major depression|MentalHealthEvidence||||||||||
high risk for suicide|MentalHealthEvidence||||||||||
poor coping skills|MentalHealthEvidence||||||||||
social isolation|MentalHealthEvidence||||||||||
violent behavior|MentalHealthEvidence||||||||||
panic attacks|MentalHealthEvidence||||||||||
anxiety|MentalHealthEvidence||||||||||
addictions|SubstanceAbuseRelated||||||||||
addiction|SubstanceAbuseRelated||||||||||
cocaine abuse|SubstanceAbuseRelated||||||||||
cocaine dependency|SubstanceAbuseRelated||||||||||
Cornerstone Counseling Center|SubstanceAbuseRelated||||||||||
day treatment|SubstanceAbuseRelated||||||||||
detox|SubstanceAbuseRelated||||||||||
detoxification|SubstanceAbuseRelated||||||||||
drug abuse|SubstanceAbuseRelated||||||||||
drug abuse|SubstanceAbuseRelated||||||||||
drug rehab|SubstanceAbuseRelated||||||||||
drug use|SubstanceAbuseRelated||||||||||
overdose|SubstanceAbuseRelated||||||||||
sa|SubstanceAbuseRelated||||||||||
SA rehab|SubstanceAbuseRelated||||||||||
sa rehab|SubstanceAbuseRelated||||||||||
substance abuse|SubstanceAbuseRelated||||||||||
substance dependance|SubstanceAbuseRelated||||||||||
SATP|SubstanceAbuseRelated||||||||||
rehab|SubstanceAbuseRelated||||||||||
substance abuse rehab|SubstanceAbuseRelated||||||||||
substance abuse treatment program|SubstanceAbuseRelated||||||||||
SA groups|SubstanceAbuseRelated||||||||||
SA group|SubstanceAbuseRelated||||||||||
heroin|SubstanceAbuseRelated||||||||||

Seed term - abuse


seed term sexual


Seed term anger

